                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.71898,                0.62453,                 1.0007,                  0.844,                0.80067,                   0.86,                 0.7102,                0.70052,                0.72472,                0.97267,             0.00044541,             0.00044541,             0.00044541
                     50,                0.68503,                 0.5902,                 0.9857,                0.82101,                0.77672,                0.83621,                0.68306,                0.71593,                  0.803,                0.97496,             0.00043716,             0.00043716,             0.00043716
                     51,                0.70577,                0.58359,                0.99609,                0.79235,                0.83764,                0.85041,                0.69428,                0.69571,                 0.7514,                0.98135,             0.00042891,             0.00042891,             0.00042891
                     52,                0.70273,                0.57086,                0.99186,                0.83547,                0.77024,                0.84732,                0.69821,                0.70192,                 0.7678,                  0.971,             0.00042066,             0.00042066,             0.00042066
                     53,                 0.7057,                0.60484,                 1.0001,                0.81677,                0.78638,                0.84856,                0.70799,                0.68399,                0.74828,                0.95783,             0.00041242,             0.00041242,             0.00041242
                     54,                 0.7061,                 0.5712,                0.99854,                0.82749,                0.82224,                0.85876,                0.70968,                0.69827,                0.72966,                 0.9713,             0.00040417,             0.00040417,             0.00040417
                     55,                0.69611,                 0.5727,                 0.9887,                0.84235,                0.82181,                0.87591,                0.72385,                0.70022,                0.71882,                 0.9664,             0.00039592,             0.00039592,             0.00039592
                     56,                0.70756,                0.57487,                0.99268,                0.83534,                0.80105,                0.85474,                0.70491,                0.69131,                0.72469,                0.96579,             0.00038768,             0.00038768,             0.00038768
                     57,                0.69959,                 0.5547,                0.99358,                  0.812,                0.81127,                0.86011,                0.71228,                0.68414,                0.73943,                0.96012,             0.00037943,             0.00037943,             0.00037943
                     58,                0.68401,                 0.5421,                0.99132,                 0.8375,                0.77834,                0.84863,                0.69818,                0.68361,                0.73394,                0.96441,             0.00037118,             0.00037118,             0.00037118
                     59,                0.68542,                0.56214,                0.98958,                0.86639,                0.78693,                0.86042,                0.71021,                0.68918,                 0.7002,                0.96903,             0.00036294,             0.00036294,             0.00036294
                     60,                 0.6839,                0.54653,                0.98741,                0.81601,                0.79859,                0.85387,                0.70768,                0.68625,                0.75429,                0.96494,             0.00035469,             0.00035469,             0.00035469
